Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
519,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
520,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
521,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
522,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
523,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
524,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
525,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
526,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
527,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
528,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
529,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
530,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
531,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
532,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
533,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
534,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
535,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
536,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
537,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
538,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
539,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
540,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
541,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
542,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
543,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
544,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
545,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
546,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
547,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
548,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
549,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
550,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
551,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
552,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
553,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
554,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
555,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
556,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
557,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
558,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
559,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
560,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
561,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
562,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
563,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
564,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
565,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
566,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
567,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
568,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
569,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
570,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
571,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
572,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
573,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
574,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
575,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
576,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
577,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
578,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
579,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
580,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
581,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
582,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
583,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
584,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
585,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
586,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
587,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
588,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
589,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
590,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
591,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
592,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
593,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
594,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
595,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
596,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
597,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
598,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
599,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
600,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
601,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
602,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
603,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
604,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
605,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
606,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
607,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
608,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
609,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
610,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
611,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
612,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
613,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
614,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
615,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
616,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
617,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
618,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
619,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
620,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
621,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
622,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
623,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
624,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
625,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
626,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
627,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
628,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
629,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
630,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
631,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
632,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
633,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
634,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
635,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
636,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
637,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
638,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
