Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
11929,5,285.0,0,0,0,0,0
11930,5,285.0,0,0,0,0,0
11931,5,285.0,0,0,0,0,0
11932,5,285.0,0,0,0,0,0
11933,5,285.0,0,0,0,0,0
11934,5,285.0,0,0,0,0,0
11935,5,285.0,0,0,0,0,0
11936,5,285.0,0,0,0,0,0
11937,5,285.0,0,0,0,0,0
11938,5,285.0,0,0,0,0,0
11939,5,285.0,0,0,0,0,0
11940,5,285.0,0,0,0,0,0
11941,5,285.0,0,0,0,0,0
11942,5,285.0,0,0,0,0,0
11943,5,285.0,0,0,0,0,0
11944,5,285.0,0,0,0,0,0
11945,5,285.0,0,0,0,0,0
11946,5,285.0,0,0,0,0,0
11947,5,285.0,0,0,0,0,0
11948,5,285.0,0,0,0,0,0
11949,5,285.0,0,0,0,0,0
11950,5,285.0,0,0,0,0,0
11951,5,285.0,0,0,0,0,0
11952,5,285.0,0,0,0,0,0
11953,5,285.0,0,0,0,0,0
11954,5,285.0,0,0,0,0,0
11955,5,285.0,0,0,0,0,0
11956,5,285.0,0,0,0,0,0
11957,5,285.0,0,0,0,0,0
11958,5,285.0,0,0,0,0,0
11959,5,285.0,0,0,0,0,0
11960,5,285.0,0,0,0,0,0
11961,5,285.0,0,0,0,0,0
11962,5,285.0,0,0,0,0,0
11963,5,285.0,0,0,0,0,0
11964,5,285.0,0,0,0,0,0
11965,5,285.0,0,0,0,0,0
11966,5,285.0,0,0,0,0,0
11967,5,285.0,0,0,0,0,0
11968,5,285.0,0,0,0,0,0
11969,5,285.0,0,0,0,0,0
11970,5,285.0,0,0,0,0,0
11971,5,285.0,0,0,0,0,0
11972,5,285.0,0,0,0,0,0
11973,5,285.0,0,0,0,0,0
11974,5,285.0,0,0,0,0,0
11975,5,285.0,0,0,0,0,0
11976,5,285.0,0,0,0,0,0
11977,5,285.0,0,0,0,0,0
11978,5,285.0,0,0,0,0,0
11979,5,285.0,0,0,0,0,0
11980,5,285.0,0,0,0,0,0
11981,5,285.0,0,0,0,0,0
11982,5,285.0,0,0,0,0,0
11983,5,285.0,0,0,0,0,0
11984,5,285.0,0,0,0,0,0
11985,5,285.0,0,0,0,0,0
11986,5,285.0,0,0,0,0,0
11987,5,285.0,0,0,0,0,0
11988,5,285.0,0,0,0,0,0
11989,5,285.0,0,0,0,0,0
11990,5,285.0,0,0,0,0,0
11991,5,285.0,0,0,0,0,0
11992,5,285.0,0,0,0,0,0
11993,5,285.0,0,0,0,0,0
11994,5,285.0,0,0,0,0,0
11995,5,285.0,0,0,0,0,0
11996,5,285.0,0,0,0,0,0
11997,4,285.0,0,0,0,0,0
11998,5,285.0,0,0,0,0,0
11999,5,285.0,0,0,0,0,0
12000,5,285.0,0,0,0,0,0
12001,5,285.0,0,0,0,0,0
12002,5,285.0,0,0,0,0,0
12003,5,285.0,0,0,0,0,0
12004,5,285.0,0,0,0,0,0
12005,5,285.0,0,0,0,0,0
12006,5,285.0,0,0,0,0,0
12007,5,285.0,0,0,0,0,0
12008,5,285.0,0,0,0,0,0
12009,5,285.0,0,0,0,0,0
12010,5,285.0,0,0,0,0,0
12011,5,285.0,0,0,0,0,0
12012,5,285.0,0,0,0,0,0
12013,5,285.0,0,0,0,0,0
12014,5,285.0,0,0,0,0,0
