Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10784,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10785,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10786,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10787,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10788,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10789,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10790,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10791,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10792,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10793,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10794,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10795,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10796,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10797,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10798,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10799,11,260.55,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,1,0,0
10800,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10801,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10802,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10803,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10804,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10805,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10806,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10807,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10808,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10809,12,263.58,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10810,13,253.62,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
