Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
11102,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11103,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11104,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11105,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11106,9,22.44,"['192.168.1.70:33847', '192.168.1.74:20000', '192.168.1.70:55003']","['192.168.1.70:33847', '192.168.1.74:20000', '192.168.1.70:55003']","[2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,[],0
11127,2,9.0,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,[],0
11128,2,76.0,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,[],1
11135,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11136,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11137,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11138,6,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
11139,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11140,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
11141,8,29.12,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",0,[],0
11142,4,13.5,"['192.168.1.74:20000', '192.168.1.70:43623']","['192.168.1.74:20000', '192.168.1.70:43623']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
