Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed,Attack
10853,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10854,4,40.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10855,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10856,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10857,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10858,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10859,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10860,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10861,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10862,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10863,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10864,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10865,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10866,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10867,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10868,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10869,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10870,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10871,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10872,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10873,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10874,4,31.5,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1
10875,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
10876,1,132,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10877,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10878,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10879,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10880,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10881,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10882,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10883,4,40.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10884,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10885,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10886,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10887,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10888,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10889,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10890,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10891,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10892,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10893,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10894,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10895,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10896,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10897,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10898,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10899,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10900,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10901,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10902,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10903,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10904,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10905,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10906,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10907,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10908,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10909,4,40.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10910,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10911,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10912,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10913,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10914,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10915,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10916,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10917,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10918,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10919,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10920,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10921,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10922,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10923,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10924,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10925,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10926,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10927,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10928,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10929,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10930,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10931,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10932,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10933,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10934,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10935,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10936,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10937,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10938,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10939,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10940,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
